subsubpop	subpop	x	y	country
Ju_hoan_South	SAfrica	20.7	-21.2	Botswana
Ju_hoan_North	SAfrica	21.5	-18.9	Namibia
Taa_West	SAfrica	20.3	-23.6	Botswana
Taa_East	SAfrica	22.8	-24.2	Botswana
Taa_North	SAfrica	22.4	-23	Botswana
Naro	SAfrica	21.6	-22	Botswana
Gui	SAfrica	23.3	-21.5	Botswana
Hoan	SAfrica	23.4	-24	Botswana
Xuun	SAfrica	19.7	-18.7	Namibia
Gana	SAfrica	23.4	-21.7	Botswana
Tshwa	SAfrica	25.9	-21	Botswana
Khomani	SAfrica	21.1	-27.8	SAfrica
Nama	SAfrica	17.3	-24.3	Namibia
Haiom	SAfrica	17	-19.3	Namibia
Kgalagadi	SAfrica	21.8	-24.8	Botswana
Shua	SAfrica	25.3	-20.6	Botswana
Khwe	SAfrica	21.9	-18.4	Botswana
Mbuti	MAfrica	29	1	Congo
Biaka	MAfrica	17	4	CntrAfrRep
BantuSA	MAfrica	24	-26	Angola,Botswana,Namibia,Lesotho,SAfrica
Tswana	MAfrica	25.4	-24.1	Botswana
Damara	MAfrica	16.2	-19.8	Namibia
Himba	MAfrica	14.1	-19.1	Namibia
Wambo	MAfrica	18.1	-17.7	Namibia
Yoruba	MAfrica	3.9	7.4	Nigeria
Esan	MAfrica	6	6.5	Nigeria
Mende	MAfrica	-13.2	8.5	SierraLeone
BantuKenya	MAfrica	37	-3	Kenya
Luhya	MAfrica	36.8	1.3	Kenya
Mandenka	MAfrica	-12	12	Senegal
Gambian	MAfrica	-16.7	13.4	Gambia
Luo	MAfrica	34.3	-0.1	Kenya
Dinka	MAfrica	27.4	8.8	Sudan
AA	MAfrica	-105	39.7	USA
Kikuyu	MAfrica	36.9	-0.4	Kenya
Hadza	MAfrica	35.2	-3.7	Tanzania
Sandawe	MAfrica	35.5	-5.5	Tanzania
Masai	MAfrica	35.55	-1.3	Kenya
Datog	MAfrica	35.7	-3.3	Tanzania
Somali	MAfrica	48.3	5.6	Kenya
Oromo	MAfrica	36.5	9	Ethiopia
Jew_Ethiopian	MAfrica	38.7	9	Ethiopia
Saharawi	NAfrica	-8.9	27.3	WSahara
Moroccan	NAfrica	-6.4	32.3	Morocco
Mozabite	NAfrica	3	32	Algeria
Algerian	NAfrica	3	36.8	Algeria
Tunisian	NAfrica	10.2	36.8	Tunisia
Libyan	NAfrica	13.19	32.88	Libya
Egyptian	NAfrica	31.2	30.6	Egypt
Yemeni	NAfrica	44.6	14	Yemen
Jew_Libyan	NAfrica	13.18	32.92	Libya
Jew_Tunisian	NAfrica	10.18	36.8	Tunisia
Jew_Moroccan	NAfrica	-6.84	34.02	Morocco
Jew_Yemenite	NAfrica	44.2	15.35	Yemen
Saudi	MiddleEast	42.52	18.49	SaudiArabia
BedouinB	MiddleEast	35	31	Israel
BedouinA	MiddleEast	35	31	Israel
Palestinian	MiddleEast	35	32	Israel
Jordanian	MiddleEast	35.91	32.05	Jordan
Syrian	MiddleEast	36.87	35.13	Syria
Lebanese_Muslim	MiddleEast	35.5	33.89	Lebanon
Lebanese_Christian	MiddleEast	35.5	33.89	Lebanon
Jew_Turkish	MiddleEast	28.95	41.02	Turkey
Assyrian	MiddleEast	44.21	37.27	Iraq,Turkey
Druze	MiddleEast	35	32	Israel
Lebanese	MiddleEast	35.57	33.82	Lebanon
Jew_iraqi	MiddleEast	44.42	33.33	Iraq
Iranian_Bandari	MiddleEast	56.267	27.183	Iran
Iranian	MiddleEast	51.46	35.59	Iran
Jew_Iranian	MiddleEast	51.42	35.7	Iran
Turkish	MiddleEast	32.66	39.22	Turkey
Jew_Ashkenazi	Europe	21.02	52.23	Poland
Cypriot	Europe	33.43	35.13	Cyprus
Maltese	Europe	14.38	35.94	Malta
Canary_Islander	Europe	-15.4	28.1	Spain
Italian_South	Europe	15.5	39.4	Italy
Sicilian	Europe	13.77	37.59	Italy
Romanian	Europe	22.95	45.776	Romania
Spanish	Europe	-2.83	40.43	Spain
Greek	Europe	23.17	39.84	Greece
Italian_North	Europe	11	43	Italy
French	Europe	2	46	France
Sardinian	Europe	9	40	Italy
Spanish_North	Europe	-2.7	42.8	Spain
Basque	Europe	-0.65	43.04	France
Orcadian	Europe	-3	59	UK
English	Europe	-2.09	50.75	UK
Icelandic	Europe	-21.93	64.13	Iceland
Norwegian	Europe	5.36	60.36	Norway
Irish	Europe	-8.265	52.753	Ireland
Irish_Ulster	Europe	-6.95	54.71	Ireland
Scottish	Europe	-3.94	56.04	UK
Shetlandic	Europe	-1.15	60.15	UK
German	Europe	12.373	51.34	Germany
Sorb	Europe	14.102	51.275	Germany
Polish	Europe	19.743	51.745	Poland
Czech	Europe	14.4	50.1	Czechoslovia(pre1989)
Croatian	Europe	16.45	43.51	Croatia
Hungarian	Europe	19.08	47.49	Hungary
Albanian	Europe	19.83	41.33	Albania
Bulgarian	Europe	24.74	42.16	Bulgaria
Mordovian	Europe	45.18	54.18	Russia
Saami_WGA	Europe	23.6	68.4	Finland
Finnish	Europe	24.9	60.2	Finland
Russian	Europe	40	61	Russia
Estonian	Europe	24.89	58.54	Estonia
Ukrainian	Europe	31.56	50.29	Ukraine
Belarusian	Europe	28.01	53.92	Belarus
Lithuanian	Europe	23.92	54.9	Lithuania
Armenian	Caucasus	44.55	40.19	Armenia
Jew_Georgian	Caucasus	44.78	41.72	Georgia
Georgian	Caucasus	41.85	42.5	Georgia
Abkhasian	Caucasus	41	43	Georgia
Adygei	Caucasus	39	44	Russia
North_Ossetian	Caucasus	44.65	43.02	Russia
Chechen	Caucasus	45.65	43.33	Russia
Lezgin	Caucasus	48.18	42.12	Russia
Kumyk	Caucasus	46.58	43.25	Russia
Balkar	Caucasus	43.62	43.48	Russia
Nogai	Caucasus	41.9	44.4	Russia
Makrani	SAsia	64	26	Pakistan
Brahui	SAsia	66.5	30.5	Pakistan
Balochi	SAsia	66.5	30.5	Pakistan
Jew_Cochin	SAsia	76.3	10	India
Tajik	SAsia	71.7	37.4	Tajikistan
Kalash	SAsia	71.5	36	Pakistan
Pathan	SAsia	70.5	33.5	Pakistan
Sindhi	SAsia	69	25.5	Pakistan
Burusho	SAsia	74	36.5	Pakistan
